title,project_description,keywords,gse,bioproject_id,bioproject_id_cohort,paper,n_samples,notes,timepoints,time_type,doses,human_atlas,human_dataset,vaccine_type,target_pathogen,target_antigen,adjuvanted,sample_source,administration_route,sequencing,organism_name,raw_data_available,train,test,atlas,translational
Single-cell gene expression analysis of pulmonary immune cells from BCG-vaccinated and CoMtb mice [scRNAseq],"The aim of this study was to measure effect of BCG vaccination or contained Mtb infection (CoMTB) on the expression profile of pulmonary immune cells. Overall design: Mice were vaccinated sub-cutaneously with BCG-Pasteur (1e6 CFU), or inoculated in the dermis of the ear with H37Rv (1e4 CFU)  and allowed to rest for 8 weeks. Pulmonary immune cells were isolate by bronchoalveolar lavage and analyzed by single-cll RNA-sequencing.","scRNAseq, BCG, lungs",GSE212204,874454,874454_lungs,,6,NA,?,,,Yes,MSigDB,Attenuated,Tuberculosis,BCG,No,Lungs (BAL),Subcutaneous,scRNAseq,Mus musculus,,FALSE,TRUE,FALSE,FALSE
Parenteral BCG vaccine induces respiratory mucosal-resident memory macrophages and trained innate immunity via the gut-lung axis I,"Besides centrally induced innate immune memory/trained immunity in the bone marrow/peripheral blood by parenteral vaccination or infection, recently emerging evidence suggests that the barrier mucosal tissue-resident innate immune memory may develop via a local inflammatory pathway following mucosal immunologic exposure. However, it remains unclear whether the mucosal-resident innate immune memory may result from integrating distally generated immunological signals following parenteral vaccination/infection.  We show here that subcutaneous Bacillus Calmette-Guérin (BCG) vaccination is able to induce memory alveolar macrophages (AM) and trained immunity at the respiratory barrier mucosa. Although parenteral BCG vaccine can centrally train bone marrow progenitors and circulating monocytes, induction of memory AM is entirely independent of circulating monocytes. Rather, parenteral BCG vaccination, via distal mycobacterial dissemination, causes a time-dependent alteration in gut microbiome, barrier function and microbial metabolites including short-chain fatty acids, and subsequently the changes in circulating and lung tissue metabolites, leading to induction of tissue-resident memory macrophages and trained innate immunity in the lung. Our study thus reveals a novel gut microbiota-mediated pathway for innate immune memory development at distal barrier mucosal tissues. Our findings have far-reaching implications in developing next-generation parenteral vaccine strategies against respiratory pathogens such as M.tb. Overall design: A mix of L-carnitine and butyrate hydrochloride was introduced to the drinking water (DW+M) of a group of naïve animals for a period of 3 weeks and as control, other animals received drinking water without supplements (DW). Alveolar macrophages were obtained by bronchoalveolar lavage and cultured in the presence (S) or absence (US) of stimulation with M. tuberculosis whole cell lysate for 16 h. Isolated RNA from the cultured cells were subjected to transcriptional analysis.","BCG, lungs BAL, rnaseq from cultured cells",GSE213340,880577,,,12,NA,16,Hour,,Yes,MSigDB,Attenuated,Tuberculosis,BCG,no,Lungs (BAL),Subcutaneous,Bulk,Mus musculus,,FALSE,TRUE,FALSE,FALSE
Parenteral BCG vaccine induces respiratory mucosal-resident memory macrophages and trained innate immunity via the gut-lung axis II,"Besides centrally induced innate immune memory/trained immunity in the bone marrow/peripheral blood by parenteral vaccination or infection, recently emerging evidence suggests that the barrier mucosal tissue-resident innate immune memory may develop via a local inflammatory pathway following mucosal immunologic exposure. However, it remains unclear whether the mucosal-resident innate immune memory may result from integrating distally generated immunological signals following parenteral vaccination/infection.  We show here that subcutaneous Bacillus Calmette-Guérin (BCG) vaccination is able to induce memory alveolar macrophages (AM) and trained immunity at the respiratory barrier mucosa. Although parenteral BCG vaccine can centrally train bone marrow progenitors and circulating monocytes, induction of memory AM is entirely independent of circulating monocytes. Rather, parenteral BCG vaccination, via distal mycobacterial dissemination, causes a time-dependent alteration in gut microbiome, barrier function and microbial metabolites including short-chain fatty acids, and subsequently the changes in circulating and lung tissue metabolites, leading to induction of tissue-resident memory macrophages and trained innate immunity in the lung. Our study thus reveals a novel gut microbiota-mediated pathway for innate immune memory development at distal barrier mucosal tissues. Our findings have far-reaching implications in developing next-generation parenteral vaccine strategies against respiratory pathogens such as M.tb. Overall design: Mice were vaccinated sub cutaneously with BCG (BCG) or carrier (PBS). At 5 weeks post-vaccination, airway alveolar macrophages isolated by bronchoalveolar lavage (BAL) was cultured in the presence (S) or absence (US) of stimulation with M. tuberculosis whole cell lysate for 16 h. Isolated RNA from the cultured cells were subjected to transcriptional analysis.","BCG, lungs BAL, rnaseq from cultured cells",GSE213342,880578,,,12,NA,16,Hour,,Yes,MSigDB,Attenuated,Tuberculosis,BCG,no,Lungs (BAL),Subcutaneous,Bulk,Mus musculus,,FALSE,TRUE,FALSE,FALSE
CXCR3 signaling is required for restricted homing of parenteral TB vaccine-induced T cells to both the lung parenchyma and airway,"While most novel tuberculosis (TB) vaccines are designed for delivery via the muscle or skin for enhanced protection in the lung, it has remained poorly understood whether systemic vaccine-induced memory T cells can readily home to the lung mucosa prior to and shortly after pathogen exposure. We have investigated this issue by using a model of parenteral TB immunization and intravascular immunostaining. We find that systemically induced memory T cells are restricted to the blood vessels in the lung, unable to populate either the lung parenchymal tissue or the airway under homeostatic conditions. We further find that after pulmonary TB infection, it still takes many days before such T cells can enter the lung parenchymal tissue and airway. We have identified the acquisition of CXCR3 expression by circulating T cells to be critical for their entry to these lung mucosal compartments. Our findings offer new insights into mucosal T cell biology and have important implications in vaccine strategies against pulmonary TB and other intracellular infections in the lung. Overall design: To identify the potential molecular determinants of lung mucosal homing of systemically induced T cells, difference in transcriptional signature of parenteral TB immunization-induced Ag-specific CD8 T cells collected when they were largely in lung vasculature and after they homed to lung mucosal tissue following pulmonary Mycobacterium tuberculosis infection were analyzed by using Affymetrix Mouse Gene 2.0ST microarray. We elected to focus on days 0, 7 and 21 timepoints post-infection to compare the T cells located in lung vasculature (d0 & d7- largely resting memory T cells) with those in lung mucosal tissue (d21-largely secondary effector T cells.   RNA from purified CD8 T cells was isolated using RNeasy® Mini Kit (Qiagen, Germantown, MD, USA). Quality of RNA and subsequent microarray was carried out by Center for Applied Genomics of The Hospital for Sick Children, Toronto, Ontario, Canada. Quality of RNA samples were analyzed using the Agilent 2100 bioanalyzer, which uses RNA 6000 Nano LabChip platform (Agilent Technologies Canada Inc., Mississauga, ON, Canada). On average RNA integrity number (RIN) for all the samples included in the study were above 7. RNA samples were then subjected to RNA Microarray expression analysis using Mouse Gene 2.0ST Affymetrix array. This array contains protein-coding regions. Triplicate sets of lung cell-derived RNA samples per timepoint was generated (8 mice/set; 24 mice/timepoint)","tuberculosis, microarray",GSE100288,391259,,https://journals.aai.org/jimmunol/article/199/7/2555/109644/CXCR3-Signaling-Is-Required-for-Restricted-Homing,9,NA,0//7//21,Day,,Partial,,Viral vector,Tuberculosis,Ag85A (Ad5),NA,Lungs (TCD8) ,Intranasal//Parenteral,Microarray,Mus musculus,,FALSE,TRUE,FALSE,FALSE
Organism-level analysis of vaccination reveals networks of protection across tissues,"To study the response of single lung and liver memory CD8+ T cells to reactivation, mice vaccinated subcutaneously with MVA (10^7 PFUs/mouse) were subsequently challenged intranasally with: (1) PBS; (2) WR (10^7 PFUs/mouse); or (3) Vaccinia virus-derived B8R20-27 peptide (20 µg/mouse). Sixteen hours after challenge, single-cell suspensions were generated from lung or liver and lymphocytes were enriched using Percoll density centrifugation prior to immunostaining and cell sorting. Single memory CD8+ T cells from lung and liver were profiled using plate-based or droplet-based single-cell RNA-seq. Overall design: Three datasets were generated from single memory CD8+ T cells isolated from lung or liver using plate-based (2,423 cells) or droplet-based (7,292) single-cell RNA-seq methods, which included: (i) 947 cells from lung of MVA-vaccinated mice challenged with PBS, WR or B8R20-27 peptide (plate-based – experiment 1); (ii) 1,476 cells from lung or liver of MVA-vaccinated mice challenged with PBS or WR (plate-based – experiment 2); and (iii) 7,292 cells from lung of MVA-vaccinated mice challenged with PBS or WR (droplet-based – experiment 3). Libraries from each experiment were sequenced as a single pool on an Illumina NextSeq500 sequencer.","MVA, modified vaccinia ankara, scRNAseq, TCD8+, lung, liver",GSE90697,355404,,,NA,NA,NA,,,Partial,,Viral vector,MVA,Peptide,NA,Lungs (TCD8) ,Subcutaneous,scRNAseq,Mus musculus,,FALSE,TRUE,FALSE,FALSE
To compare the expression profile of CD8 T cells from mice vaccinated with Ad85A via the intranasal (IN) or intradermal (ID) routes isolated from lungs or spleen.,"In Balb/c mice, the presence of effector CD8 T cells in lungs after intra-nasal (IN) immunization with replication deficient recombinant Adenovirus expressing the 85A antigen from Mycobacterium tuberculosis (MTb) (Ad85A) correlates with protection against aerosol MTb infection. In order to identify differentially expressed transcripts which contribute to protection by IN immunized lung CD8 T cells, total RNA from CD8 T cells isolated from target tissue (lungs) and lymphoid organ (spleen ) after a protective (IN) and non-protective (intradermal, ID) immunization regime will be analyzed in a whole-genome microarray study. Overall design: Total RNA from CD8 T cells isolated from lungs or spleens of Balb/c mice 3 weeks post-immunization with Ad85A through the IN (protective) or ID (non-protective) route will be compared.","tuberculosis, lungs, spleen",GSE23713,130877,130877_lungs,,NA,NA,3,Week,,Yes,13 vaccines atlas,Viral vector,Tuberculosis,Ag85A (Ad85A),NA,Lungs (TCD8+),Intranasal,Microarray,Mus musculus,,FALSE,TRUE,FALSE,FALSE
BCG vaccination stimulates Integrated Organ Immunity by feedback of the adaptive immune response to imprint prolonged innate antiviral resistance,"Bacille Calmette-Guérin (BCG) vaccination can confer non-specific protection against heterologous pathogens. However, the underlying mechanisms remain mysterious. We used scRNA-seq in this study to identify transcriptional changes in the immune and epithelial cells in the lungs following BCG vaccination in mice Overall design: Lung immune and epithelial cells were enriched by Fluorescence-activated cell sorting using respective cell markers and mixed with non-enriched fraction for scRNA-seq","bcg, tuberculosis, lungs",GSE244126,1021327,,,2,NA,NA,,,Yes,,Attenuated,Tuberculosis,whole,NA,Lungs//Epithelial cells,NA,scRNAseq,Mus musculus,,FALSE,TRUE,FALSE,FALSE
Mechanisms of protection of a novel murine cytomegalovirus vaccine vector against Mycobacterium tuberculosis,To identify the gene signature induced by MCMV that modulates innate immune function Overall design: Microarray comparison of gene expression in the lungs of 4 individual naive and 4 eMCMV infected mice two weeks after infection.,"murine cmv, tuberculosis",GSE57572,246717,,https://pubmed.ncbi.nlm.nih.gov/25070842/,8,?,2,Week,,Yes,,Viral vector,Tuberculosis,Ag85A (mCMV),NA,Lungs//Spleen//Liver,Intravenous//Intraperitoneum//Intrasal,Microarray,Mus musculus,,FALSE,TRUE,FALSE,FALSE
Molecular characterization of hypothalamus-infiltrating T cells following Pandemrix® vaccination of Orex-HA mice through bulk RNA sequencing of T cell subsets,"To identify the T cell subsets and molecular pathways potentially involved in the killing of orexinergic neurons in Pandemrix®-vaccinated Orex-HA mice, we cell-sorted activated (CD44high CD62Llow) transferred HA-specific (CD45.1+) and endogenous (CD45.1-) CD4 and CD8 T cells from dissected hypothalami, spleen and cervical lymph nodes at the peak of hypothalamic infiltration (day 14 post-vaccination). RNA sequencing on these sorted T cell populations allowed us to compare the gene expression profile of a given T cell subset across different tissue sites and of different T cell subsets in a given tissue. Overall design: Orex-HA mice were immunized intramuscularly with Pandemrix® vaccine 1 day after the adoptive transfer of naïve (CD45.1+CD62L+CD25-) HA-specific CD4+ and CD8+ T cells. At day 14 post-vaccination, endogenous (CD45.1-) and transferred HA-specific (CD45.1+) populations of CD44highCD62LlowCD4+ and CD44highCD62LlowCD8+ T cells were isolated from spleens, cervical lymph nodes and hypothalami by FACS sorting in 4 independent experiments involving 20 to 30 mice each.   4 experiments X 3 tissues per experiment X 4 T cell populations (CD4 and CD8 both with endogenous & transferred) = 48 samples (1 samples did not sequence)…. Total of 47 samples available.","Pandemrix, bulkRNAseq, spleens, lymph nodes",GSE195600,801465,801465_lymphnode,,47,NA,14,Day,,Yes,MSigDB,Inactivated,Influenza,Pandemrix,AS03,Lymph node,?,Bulk,Mus musculus,,FALSE,TRUE,FALSE,FALSE
Single cell immune response to the mRNA SARS-CoV-2 vaccine and yellow fever in the lymph nodes of mice,"Purpose: to understand the mechanisms of vaccines in the lymph nodes of mice Methods: mice were treated with mRNA SARS-CoV-2 vaccine or the yellow fever vaccine. The draining inguinal or illiac lymph nodes were harvested 1, 3, or 7 days after treatment and analyzed by scRNA-seq Results: TBD Conclusions: TBD Overall design: Mice treated with either yellow fever vaccine (YFV) or Pfizer BioNTech mRNA COVID vaccine (mRNA). Samples were taken from the draining inguinal lymph node (LN) or the illiac lymph node (LC). Lymph nodes were harvested one day (D1), three days (D3) and seven days (D7) after treatment.","scRNAseq, mrna, sarscov2, yellow fever",GSE179131,742383,742383_sars2,,12,NA,,,,Yes,COVID-19 vax atlas,Attenuated,SARS-CoV-2,Spike protein,No,Lymph node,?,scRNAseq,Mus musculus,,FALSE,TRUE,FALSE,FALSE
Genome-wide analysis of gene expression in lymph nodes and vaccination site in mice vaccinated with adenovirus and MVA mixed formulations,"Gene expression analysis in lymph nodes and site of injection (intradermal) after vaccination with adenovirus (Ad), modified vaccinia Ankara (MVA) or a mixed formulation of Ad+MVA. The hypothesis tested in the present study was that co-administration of two viral vectors induce a differential gene expression in the site of vaccination (dermis) and the draining lymph nodes that ultimately influences the protective ability of a vaccine against pre-erythrocytic malaria. Overall design: Total RNA was isolated from the vaccination site (dermis) and lymph nodes after vaccination with adenovirus, MVA or Ad+MVA mixed co-administration after 6h and 24h (ear biopsies) and 9h, 24h and 72h for lymph nodes. Differential gene expression was assessed between vaccinated and non-immunized mice. Four ear biopsy samples did not pass quality control, and are not included in this submission.","adenovirus, mva, malaria, bulk, lymph nodes",GSE30564,143357,143357_Ad,,NA,NA,6//9//24//72,Hour,,Partial,,Viral vector,Malaria,(Ad),NA,Lymph node,Intradermal,Microarray,Mus musculus,,FALSE,TRUE,FALSE,FALSE
Genome-wide analysis of gene expression in lymph nodes and vaccination site in mice vaccinated with adenovirus and MVA mixed formulations,"Gene expression analysis in lymph nodes and site of injection (intradermal) after vaccination with adenovirus (Ad), modified vaccinia Ankara (MVA) or a mixed formulation of Ad+MVA. The hypothesis tested in the present study was that co-administration of two viral vectors induce a differential gene expression in the site of vaccination (dermis) and the draining lymph nodes that ultimately influences the protective ability of a vaccine against pre-erythrocytic malaria. Overall design: Total RNA was isolated from the vaccination site (dermis) and lymph nodes after vaccination with adenovirus, MVA or Ad+MVA mixed co-administration after 6h and 24h (ear biopsies) and 9h, 24h and 72h for lymph nodes. Differential gene expression was assessed between vaccinated and non-immunized mice. Four ear biopsy samples did not pass quality control, and are not included in this submission.","adenovirus, mva, malaria, bulk, lymph nodes",GSE30564,143357,143357_MVA,,NA,NA,6//9//24//72,Hour,,Partial,,Viral vector,Malaria,(MVA),NA,Lymph node,Intradermal,Microarray,Mus musculus,,FALSE,TRUE,FALSE,FALSE
Ten day time course of effect of influenza vaccination on gene expression profiles of lymph node cells (unselected cells and B cells) in mice,"Study was to explore the immune and transcriptomic response to seasonal influenza vaccination (TIV) in mice. For more information see Immport study SDY583. Overall design: 22 total samples, 6 mice per sample: 11 unselected cell samples (0, 1, 2, 3, 4, 5, 6, 7, 8, 9, or 10 days post-vaccine boost) and 11 B cell samples  (0, 1, 2, 3, 4, 5, 6, 7, 8, 9, or 10 days post-vaccine boost)","influenza, pbmc, b cell",GSE68769,283895,,,NA,NA,0//10,Day,,Yes,MSigDB/13Vax,Inactivated,Influenza,Whole,NA,Lymph node,NA,Bulk,Mus musculus,,FALSE,TRUE,FALSE,FALSE
RNA sequencing of lymph nodes in CXCL13-immunized versus non-Immunized mice,"This study aims to investigate the role of CXCL13 in enhancing the immune response induced by circular RNA vaccines in Mus musculus, with implications for improving vaccine efficacy against influenza and SARS-CoV-2.","sarscov2, influenza, circular RNA,",NA,1118020,,,NA,NA,NA,,,Yes,COVID-19 vax atlas,circRNA,SARS-CoV-2,,?,Lymph node,NA,Bulk,Mus musculus,,FALSE,TRUE,FALSE,FALSE
Heterologous immunization combining vector- and mRNA-based vaccine elicits both robust innate and adaptive immune responses,"Heterologous vaccination regimens are increasingly recommended for their potential benefits, including reduced side effects and enhanced immunogenicity. In this study, we investigated the innate and adaptive immune responses elicited by heterologous prime-boost vaccination using adenoviral vector and mRNA vaccines against SARS-CoV-2 in a mouse model. Our findings show that heterologous vaccination induced superior serum neutralizing and binding antibody titers, as well as enhanced cellular immune responses against the Delta and Omicron (BA.5) variants, compared to homologous vaccination. Single-cell transcriptomic analysis at the injection site, conducted 16 hours post-vaccination, revealed that the lipid nanoparticle (LNP)-based mRNA vaccine—and even empty LNP injection—triggered significant immune cell infiltration, while adenoviral vector vaccination caused minimal changes in injection-site cell composition following the first dose. Notably, spike mRNA was predominantly expressed in fibroblasts and macrophages across both vaccine platforms, suggesting these cells’ role in local immune responses. Further analysis demonstrated that the adenoviral vector booster induced amplified immune responses, marked by increased transcriptional changes, particularly in stromal pro-inflammatory pathways. Heterologous vaccination (adenoviral prime, mRNA boost) further intensified these responses compared to homologous mRNA vaccination, indicating that adenoviral priming enhances inflammatory responses when followed by an mRNA boost. In summary, our results demonstrate that heterologous vaccination strategies elicit stronger innate and adaptive immune responses compared to homologous regimens, supporting their use as an effective approach for enhanced protection against variants. Overall design: In this study, we evaluated the immunogenicity of SARS-CoV-2 spike adenoviral vector-based and LNP-mRNA vaccines, administered in both homologous and heterologous prime-boost regimens. Saline (phosphate-buffered saline; PBS) and empty lipid nanoparticle (LNP, formulated without the mRNA component) injections served as controls. To create a single-cell transcriptome atlas of injection-site responses, BALB/c mice were immunized intramuscularly with either mRNA or adenoviral vector vaccines, with a three-week interval between the prime and boost shots.","sarscov2, heterologous, homologous, mrna, adenovirus, omicron, delta, scRNA,",GSE282488,1189001,,,1,Heterologous (Ad -> mRNA),NA,,,Yes,COVID-19 vax atlas,mRNA,SARS-CoV-2,Spike,No,Lymph node,NA,scRNAseq,Mus musculus,,FALSE,TRUE,FALSE,FALSE
Heterologous immunization combining vector- and mRNA-based vaccine elicits both robust innate and adaptive immune responses,"Heterologous vaccination regimens are increasingly recommended for their potential benefits, including reduced side effects and enhanced immunogenicity. In this study, we investigated the innate and adaptive immune responses elicited by heterologous prime-boost vaccination using adenoviral vector and mRNA vaccines against SARS-CoV-2 in a mouse model. Our findings show that heterologous vaccination induced superior serum neutralizing and binding antibody titers, as well as enhanced cellular immune responses against the Delta and Omicron (BA.5) variants, compared to homologous vaccination. Single-cell transcriptomic analysis at the injection site, conducted 16 hours post-vaccination, revealed that the lipid nanoparticle (LNP)-based mRNA vaccine—and even empty LNP injection—triggered significant immune cell infiltration, while adenoviral vector vaccination caused minimal changes in injection-site cell composition following the first dose. Notably, spike mRNA was predominantly expressed in fibroblasts and macrophages across both vaccine platforms, suggesting these cells’ role in local immune responses. Further analysis demonstrated that the adenoviral vector booster induced amplified immune responses, marked by increased transcriptional changes, particularly in stromal pro-inflammatory pathways. Heterologous vaccination (adenoviral prime, mRNA boost) further intensified these responses compared to homologous mRNA vaccination, indicating that adenoviral priming enhances inflammatory responses when followed by an mRNA boost. In summary, our results demonstrate that heterologous vaccination strategies elicit stronger innate and adaptive immune responses compared to homologous regimens, supporting their use as an effective approach for enhanced protection against variants. Overall design: In this study, we evaluated the immunogenicity of SARS-CoV-2 spike adenoviral vector-based and LNP-mRNA vaccines, administered in both homologous and heterologous prime-boost regimens. Saline (phosphate-buffered saline; PBS) and empty lipid nanoparticle (LNP, formulated without the mRNA component) injections served as controls. To create a single-cell transcriptome atlas of injection-site responses, BALB/c mice were immunized intramuscularly with either mRNA or adenoviral vector vaccines, with a three-week interval between the prime and boost shots.","sarscov2, heterologous, homologous, mrna, adenovirus, omicron, delta, scRNA,",GSE282488,1189001,,,1,Homologous (D2),NA,,,Yes,COVID-19 vax atlas,Viral vector,SARS-CoV-2,Spike,No,Lymph node,NA,scRNAseq,Mus musculus,,FALSE,TRUE,FALSE,FALSE
Heterologous immunization combining vector- and mRNA-based vaccine elicits both robust innate and adaptive immune responses,"Heterologous vaccination regimens are increasingly recommended for their potential benefits, including reduced side effects and enhanced immunogenicity. In this study, we investigated the innate and adaptive immune responses elicited by heterologous prime-boost vaccination using adenoviral vector and mRNA vaccines against SARS-CoV-2 in a mouse model. Our findings show that heterologous vaccination induced superior serum neutralizing and binding antibody titers, as well as enhanced cellular immune responses against the Delta and Omicron (BA.5) variants, compared to homologous vaccination. Single-cell transcriptomic analysis at the injection site, conducted 16 hours post-vaccination, revealed that the lipid nanoparticle (LNP)-based mRNA vaccine—and even empty LNP injection—triggered significant immune cell infiltration, while adenoviral vector vaccination caused minimal changes in injection-site cell composition following the first dose. Notably, spike mRNA was predominantly expressed in fibroblasts and macrophages across both vaccine platforms, suggesting these cells’ role in local immune responses. Further analysis demonstrated that the adenoviral vector booster induced amplified immune responses, marked by increased transcriptional changes, particularly in stromal pro-inflammatory pathways. Heterologous vaccination (adenoviral prime, mRNA boost) further intensified these responses compared to homologous mRNA vaccination, indicating that adenoviral priming enhances inflammatory responses when followed by an mRNA boost. In summary, our results demonstrate that heterologous vaccination strategies elicit stronger innate and adaptive immune responses compared to homologous regimens, supporting their use as an effective approach for enhanced protection against variants. Overall design: In this study, we evaluated the immunogenicity of SARS-CoV-2 spike adenoviral vector-based and LNP-mRNA vaccines, administered in both homologous and heterologous prime-boost regimens. Saline (phosphate-buffered saline; PBS) and empty lipid nanoparticle (LNP, formulated without the mRNA component) injections served as controls. To create a single-cell transcriptome atlas of injection-site responses, BALB/c mice were immunized intramuscularly with either mRNA or adenoviral vector vaccines, with a three-week interval between the prime and boost shots.","sarscov2, heterologous, homologous, mrna, adenovirus, omicron, delta, scRNA,",GSE282488,1189001,,,1,Homologous (D1),NA,,,Yes,COVID-19 vax atlas,Viral vector,SARS-CoV-2,Spike,No,Lymph node,NA,scRNAseq,Mus musculus,,FALSE,TRUE,FALSE,FALSE
Mycolic acid nanoparticle vaccination leads to lipid antigen persistence and unique differentiation of mycobacterial-specific T cells,"Mycobacterium tuberculosis (Mtb) infection elicits both protein and lipid antigen-specific T cell responses. However, the incorporation of lipid antigens into subunit vaccine strategies and formulations has been underexplored, and the properties of vaccine-induced Mtb lipid-specific memory T cells remained elusive. Mycolic acid (MA), a major lipid component of the Mtb cell wall, is presented by human CD1b molecules to T cells.  MA-specific CD1b-restricted T cells have been detected in the blood and disease sites of Mtb-infected individuals, suggesting MA is a promising lipid antigen for incorporation into multicomponent subunit vaccines. In this study, we utilized bicontinuous nanospheres (BCN) to efficiently encapsulate MA and deliver it to MA-specific T cells both alone and in combination with an immunodominant Mtb protein antigen (Ag85B). Pulmonary delivery of MA-loaded BCN (MA-BCN) elicited MA-specific T cell responses in humanized CD1 transgenic mice. Simultaneous delivery of MA and Ag85B within BCN activated both MA- and Ag85B-specific T cells. Interestingly, pulmonary vaccination with MA-Ag85B-BCN led to the persistence of MA, but not Ag85B, within alveolar macrophages in the lung. Vaccination of MA-BCN through intravenous or subcutaneous route, or with attenuated Mtb likewise reproduced MA persistence. Moreover, MA-specific T cells in MA-BCN-vaccinated mice differentiated to have a T follicular helper-like phenotype. Overall, BCN platform allows for the dual encapsulation of lipid and protein antigen and leads to persistent lipid depots that could offer long-lasting immune response and protection. Overall design: Bone marrow cells from DN1Tg/hCD1Tg/Rag-/- (CD45.2) and hCD1Tg mice (CD45.1) were depleted of mature T cells using anti-Thy-1.2 (AT83.A-6) plus rabbit complement (Cedarlane Laboratories). Equal numbers of cells (5x106) were adoptively transferred into hCD1Tg (CD45.1) mice irradiated with 900 rads. After 6 weeks, mixed BM chimeric mice were intratracheally vaccinated with either 2.5 micrograms of MA in MA-BCN or equivalent volume of PBS. CD44+CD62L+ and CD44-CD62L+ DN1 T cells were sorted from lymph nodes of DN1-hCD1Tg BM chimera mice vaccinated with MA-BCN at 6 weeks post vaccination by BD FACS Aria.","tuberculosis, subunit, lipid, mycolic acid",GSE226075,938471,,,6,NA,6,Week,,Yes,,Subunit,Tuberculosis,,mycolic acid,Lymph node,NA,Bulk,Mus musculus,,FALSE,TRUE,FALSE,FALSE
Transcriptome of  draining lymph nodes from the mice immunized with RABV,Here we show the transcriptome of lymph nodes draining from RABV vaccinated B6 mice and TLR7 KO mice. These differential transcripts will provide a reference for studies focus on the relationship between TLR7-denpendent signaling and humoral immunity. Overall design: B6 mice were vaccinated with RABV and RNA from draining lymph nodes were collected at 7 day p.i.,"RABV, RNA",GSE122637,505824,,,4,NA,7,Day,,Yes,None,Attenuated,RABV,Whole,NA,Lymph node,NA,Bulk,Mus musculus,,FALSE,TRUE,FALSE,FALSE
Low-inflammatory lipid nanoparticle-based mRNA vaccine elicits protective immunity against H5N1 high-pathogenicity avian influenza virus with reduced adverse reactions (using whole lymph node),"Messenger RNA vaccines based on lipid nanoparticles (mRNA-LNPs) are promising vaccine modalities. However, mRNA-LNP vaccines frequently cause adverse reactions such as swelling and fever in humans, partly due to the inflammatory nature of LNP. Modification of the ionizable lipids used in LNP is one approach to avoid these adverse reactions. Herein, we report the development of mRNA-LNP vaccines with better protective immunity and reduced adverse reactions using LNP, including SS-cleavable and pH-activated lipid-like materials with oleic acid (ssPalmO) as an ionizable lipid (LNPssPalmO). We used mRNA expressing H5N1 subtype high-pathogenicity avian influenza virus-derived hemagglutinin or neuraminidase to generate mRNA-LNP vaccines against H5N1 influenza. Compared with conventional LNP, mRNA-LNPssPalmO induced comparable antigen-specific antibodies and better IFN--producing Th1 responses in mice. Both mRNA-LNPssPalmO and conventional mRNA-LNP conferred strong protection against homologous H5N1 virus challenge. In addition, mRNA-LNPssPalmO showed better cross-protection against heterologous H5N1 virus challenge compared to conventional mRNA-LNPs. Furthermore, we observed that mRNA-LNPssPalmO induced less inflammatory responses (e.g., inflammatory cytokine production and vascular hyperpermeability) and fewer adverse reactions (e.g., weight loss and fever) compared with conventional mRNA-LNP. These results suggest that mRNA-LNPssPalmO would be a safe alternative to conventional vaccines to overcome mRNA-LNP vaccine hesitancy. Overall design: To thoroughly evaluate inflammatory response induced by LNPssPalmO, we analyzed the gene expression profile from an RNA-seq data obtained from the draining lymph nodes of mice subjected to control and experimental treatments (three treatments in total). Comparative gene expression profiles from draining lymph node of mice vaccinated with PBS, LNPssPalmO, or LNPSM-102. Samples from mice treated with PBS served as reference samples.","mrna, h5n1, influenza, whole lymph node drainage",GSE279743,1174196,,,9,NA,NA,,,Partial,None,mRNA,Influenza,H5N1,No,Lymph node,NA,Bulk,Mus musculus,,FALSE,TRUE,FALSE,FALSE
Specific targeting of IL-1β activity to CD8+ T cells allows for safe use as a vaccine adjuvant,"Annual administration and reformulation of influenza vaccines is required for protection against seasonal infections. However, the induction of strong and long-lasting T cells is critical to reach broad and potentially lifelong antiviral immunity. The NLRP3 inflammasome and its product interleukin-1β (IL-1β) are pivotal mediators of cellular immune responses to influenza, yet, overactivation of these systems leads to side effects, which hamper clinical applications. Here, we present a bypass around these toxicities by targeting the activity of IL-1β to CD8+ T cells. Using this approach, we demonstrate safe inclusion of IL-1β as an adjuvant in vaccination strategies, leading to full protection of mice against a high influenza virus challenge dose by raising potent T cell responses. In conclusion, this paper proposes a class of IL-1β-based vaccine adjuvants and also provides further insight in the mechanics of cellular immune responses driven by IL-1β. Overall design: Groups: WIV alone (reference)/WIV+AddaVax (positive control)/WIV+WT IL-1b/WIV+CD8a ALN-1 Tissues/group: lungs and mediastinal lung-draining lymph nodes Biological replicates/group: 3 Samples in total: 23 Sequencing: Illumina NextSeq500 High Output 75 (two single-end runs/sample) contributor: VIB Flow Core contributor: VIB Nucleomics Core","influenza, wiv, addavax",GSE134647,555995,,,23,NA,NA,,,Yes,,Inactivated,Influenza,Whole,Addavax,Lymph node,NA,Bulk,Mus musculus,,FALSE,TRUE,FALSE,FALSE
